Date,Open,High,Low,Close,Adj Close,Volume
1/2/2001,1320.280029,1320.280029,1276.050049,1283.27002,1283.27002,1129400000
1/3/2001,1283.27002,1347.76001,1274.619995,1347.560059,1347.560059,1880700000
1/4/2001,1347.560059,1350.23999,1329.140015,1333.339966,1333.339966,2131000000
1/5/2001,1333.339966,1334.77002,1294.949951,1298.349976,1298.349976,1430800000
1/8/2001,1298.349976,1298.349976,1276.290039,1295.859985,1295.859985,1115500000
1/9/2001,1295.859985,1311.719971,1295.140015,1300.800049,1300.800049,1191300000
1/10/2001,1300.800049,1313.76001,1287.280029,1313.27002,1313.27002,1296500000
1/11/2001,1313.27002,1332.189941,1309.719971,1326.819946,1326.819946,1411200000
1/12/2001,1326.819946,1333.209961,1311.589966,1318.550049,1318.550049,1276000000
1/16/2001,1318.319946,1327.810059,1313.329956,1326.650024,1326.650024,1205700000
1/17/2001,1326.650024,1346.920044,1325.410034,1329.469971,1329.469971,1349100000
1/18/2001,1329.890015,1352.709961,1327.410034,1347.969971,1347.969971,1445000000
1/19/2001,1347.969971,1354.550049,1336.73999,1342.540039,1342.540039,1407800000
1/22/2001,1342.540039,1353.619995,1333.839966,1342.900024,1342.900024,1164000000
1/23/2001,1342.900024,1362.900024,1339.630005,1360.400024,1360.400024,1232600000
1/24/2001,1360.400024,1369.75,1357.280029,1364.300049,1364.300049,1309000000
1/25/2001,1364.300049,1367.349976,1354.630005,1357.51001,1357.51001,1258000000
1/26/2001,1357.51001,1357.51001,1342.75,1354.949951,1354.949951,1098000000
1/29/2001,1354.920044,1365.540039,1350.359985,1364.170044,1364.170044,1053100000
1/30/2001,1364.170044,1375.680054,1356.199951,1373.72998,1373.72998,1149800000
1/31/2001,1373.72998,1383.369995,1364.660034,1366.01001,1366.01001,1295300000
,,,,,,
